movement_class,muscle_group,contraindication,tagged,group_size,coverage,inconsistent,examples_tagged,examples_untagged,tag_correct_for_this_movement__Y_N,coverage_correct__Y_N,missing_contraindications,reviewer_notes
squat,legs,knee_replacement,43,43,100%,,Barbell Full Squat | Barbell Squat | Barbell Squat To A Bench,,,,,
squat,legs,pregnancy,3,43,7%,,Freehand Jump Squat | Kneeling Jump Squat | Weighted Jump Squat,Barbell Full Squat | Barbell Squat | Barbell Squat To A Bench | Bodyweight Squat | Box Squat | Box Squat With Bands | Bo,,,,
squat,legs,rotator_cuff,5,43,12%,,Goblet Squat | Kettlebell Pistol Squat | One-Arm Overhead Kettlebell Squats,Barbell Full Squat | Barbell Squat | Barbell Squat To A Bench | Bodyweight Squat | Box Squat | Box Squat With Bands | Bo,,,,
squat,legs,shoulder_injury,5,43,12%,,Goblet Squat | Kettlebell Pistol Squat | One-Arm Overhead Kettlebell Squats,Barbell Full Squat | Barbell Squat | Barbell Squat To A Bench | Bodyweight Squat | Box Squat | Box Squat With Bands | Bo,,,,
triceps_extension,triceps,herniated_disc,3,41,7%,,Seated Bent-Over One-Arm Dumbbell Triceps Extension | Seated Bent-Over Two-Arm Dumbbell Triceps Extension | Standing Bent-Over Two-Arm Dumbbell Triceps Extension,Band Skull Crusher | Body Tricep Press | Cable Incline Triceps Extension | Cable Lying Triceps Extension | Cable One Arm,,,,
triceps_extension,triceps,lower_back_pain,3,41,7%,,Seated Bent-Over One-Arm Dumbbell Triceps Extension | Seated Bent-Over Two-Arm Dumbbell Triceps Extension | Standing Bent-Over Two-Arm Dumbbell Triceps Extension,Band Skull Crusher | Body Tricep Press | Cable Incline Triceps Extension | Cable Lying Triceps Extension | Cable One Arm,,,,
(isolation),back,cervical_spondylosis,4,39,10%,,Spinal Stretch | Upper Back Stretch | Superman Hold,Atlas Stone Trainer | Atlas Stones | Cat Stretch | Catch And Overhead Throw | Chair Lower Back Stretch | Child'S Pose | ,,,,
(isolation),back,elbow_injury,3,39,8%,,Gironda Sternum Chins | Mixed Grip Chin | One Handed Hang,Atlas Stone Trainer | Atlas Stones | Cat Stretch | Catch And Overhead Throw | Chair Lower Back Stretch | Child'S Pose | ,,,,
(isolation),back,heart_disease,4,39,10%,,Overhead Lat | Overhead Slam | Rack Pull With Bands,Atlas Stone Trainer | Atlas Stones | Cat Stretch | Catch And Overhead Throw | Chair Lower Back Stretch | Child'S Pose | ,,,,
(isolation),back,hypertension,4,39,10%,,Overhead Lat | Overhead Slam | Rack Pull With Bands,Atlas Stone Trainer | Atlas Stones | Cat Stretch | Catch And Overhead Throw | Chair Lower Back Stretch | Child'S Pose | ,,,,
